사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202410,2호선,을지로4가,13,2,1059,1215,2421,13970,5591,35845,12290,75969,14983,39280,17809,27361,20325,26365,21308,24283,23568,23350,26408,22227,30662,20624,36745,19804,62476,20123,66601,20613,29165,14014,18522,10414,16474,9947,10710,9424,5568,5948,995,1597,4,39,0,0,0,0,20241103
202410,2호선,을지로입구,61,3,2562,2561,4856,30695,11034,125483,19482,336433,29572,166884,36339,93547,45954,80203,50978,71042,62533,74831,74202,67154,90465,64682,112385,68180,185630,75667,280618,76917,137684,49010,130997,34116,89705,27907,72103,21006,29913,11335,3808,4497,3,772,0,0,0,0,20241103
202410,2호선,이대,32,1,3940,917,9888,7222,29091,17165,40228,48960,26124,52896,22111,42201,24151,30374,31130,33235,32221,36589,30339,29286,36799,29355,40859,31990,51365,40076,47582,50394,27871,37182,23792,25519,25495,25649,20073,24341,7154,17092,1014,4293,1,118,0,0,0,0,20241103
202410,2호선,잠실(송파구청),116,24,14349,5177,50460,41187,121155,88171,169307,185672,123717,176410,89728,129444,91089,129519,102391,124790,112715,124053,122820,127601,147107,141363,170108,157259,202699,194674,245552,235882,174698,157766,178475,105803,159325,96027,99898,83364,31197,46429,4876,9640,8,218,0,0,0,0,20241103
202410,2호선,잠실나루,10,1,3633,3617,13854,21481,39256,23883,49597,38867,33511,25641,27716,19324,26386,17884,24200,20937,23019,23027,24132,21252,27267,21929,36483,24359,41437,30999,31170,41956,15891,30330,11505,19888,8356,18340,6025,17116,2830,9556,446,2732,2,61,0,0,0,0,20241103
202410,2호선,잠실새내,46,1,6162,1111,19294,9620,62969,18861,88911,30016,58277,31246,40252,26411,37415,28194,37711,32550,37295,36801,33323,38493,36349,44768,39874,52390,42522,68304,44215,89808,33014,61366,28390,38641,27843,34888,26395,31443,13543,16756,2374,4951,4,163,0,0,0,0,20241103
202410,2호선,종합운동장,2,0,1588,973,6436,14073,18141,24014,23909,33823,17308,16052,13241,14482,12672,16858,14737,29997,15328,43921,14074,20522,17825,19154,32365,25640,56288,42931,22911,44438,13831,20084,14066,12163,47760,11806,11048,10338,2308,5681,312,1499,2,84,0,0,0,0,20241103
202410,2호선,충정로(경기대입구),37,1,3635,1121,6831,6570,15890,24643,22321,60303,15786,27463,12460,13114,13136,11903,13870,12492,14312,14701,14235,13156,15556,13524,19627,14954,33188,18585,46565,22619,15682,15735,11477,11553,9649,11142,6600,9474,3027,6281,625,1890,0,84,0,1,0,0,20241103
202410,2호선,한양대,8,2,1242,522,2818,6301,5586,13006,9098,68047,7329,53655,9126,50702,15501,20247,18886,38773,20987,28437,25649,23707,32422,16446,41567,13999,51661,17039,42550,21674,21963,10979,19567,7475,21569,6794,14412,6512,8154,4362,1748,1449,1,14,0,0,0,0,20241103
202410,2호선,합정,139,12,10564,3066,18658,14211,42728,33005,54113,94145,37982,87052,31007,56549,33983,54370,38682,58153,43095,63814,45725,59041,50291,60460,61058,70996,81884,87507,116823,116888,80798,80783,68750,47175,75286,38533,68392,34133,34818,22600,5580,8188,2,380,0,0,0,0,20241103
