,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자,Station,Line,Connection,Longitude,Latitude
42,202408,1호선,신설동,263,22,9154,2446,9760,9764,21316,24862,29923,53429,20854,31749,19243,20591,20339,18213,21971,18358,22512,18313,21190,17118,23618,19288,28595,21204,40598,23994,51451,30862,19780,21865,13937,15986,12021,14757,8472,13318,3619,9141,374,2635,0,4,0,1,0,0,20240903,신설동,1호선,소요산-용산,127.025087,37.575297
43,202407,1호선,신설동,383,19,9203,2591,10574,10181,23443,27395,33206,60545,21431,35433,18784,21070,20581,18431,22863,18731,24154,19342,22486,18036,24927,19875,29261,21346,44067,25084,56303,32922,21384,22988,14590,15955,12425,15574,8990,13863,4006,9459,416,2580,0,0,0,0,0,0,20240803,신설동,1호선,소요산-용산,127.025087,37.575297
44,202406,1호선,신설동,315,24,9060,2490,10184,10152,21371,25480,29824,53195,21553,32732,19534,21495,20791,19035,23098,19264,24022,19538,22840,17809,25071,20436,29303,22128,40751,24272,51083,29256,20348,21601,14863,15261,12968,15469,9238,14151,3890,9231,392,2769,1,1,0,0,0,0,20240703,신설동,1호선,소요산-용산,127.025087,37.575297
45,202405,1호선,신설동,362,31,9390,2496,10861,10733,22800,27252,32936,56956,23185,33756,20771,22488,21922,19826,24000,19740,26146,20960,24524,19303,25497,21423,30405,23273,43771,25553,53893,31470,22034,23353,15401,16951,14123,16676,9772,14981,4668,10655,441,3275,3,5,0,0,0,0,20240603,신설동,1호선,소요산-용산,127.025087,37.575297
46,202404,1호선,신설동,371,25,8785,2166,10319,9477,22808,27491,33089,58404,22394,33115,19633,21299,20937,18479,22666,19302,25010,20300,23677,18717,25136,20530,29458,22012,42658,24664,52889,31891,21913,23357,15004,16160,14481,16241,9660,14335,4282,9376,423,3048,0,0,0,0,0,0,20240503,신설동,1호선,소요산-용산,127.025087,37.575297
47,202403,1호선,신설동,354,41,8771,2125,9802,8884,22365,25682,32886,56164,22622,34163,20212,23430,22124,20688,23991,21390,26404,22120,25727,20953,27355,22199,32074,23561,44345,25425,53917,33131,22378,24588,15696,16876,13856,16369,9731,14132,4287,9845,427,2938,0,1,0,0,0,0,20240403,신설동,1호선,소요산-용산,127.025087,37.575297
48,202402,1호선,신설동,313,25,7586,1784,8387,7403,18494,19718,26900,48773,17928,29621,16287,19333,17589,17105,20523,17841,22490,18555,21998,17992,23209,18922,26809,20112,36888,21268,47729,27791,19182,20536,12644,14060,11195,13421,7896,11485,3392,7942,334,2370,5,36,0,0,0,0,20240303,신설동,1호선,소요산-용산,127.025087,37.575297
49,202401,1호선,신설동,373,37,9007,1995,9470,8563,20405,20681,30428,57315,19764,33089,16468,20536,18639,18699,21827,19048,24263,19474,23021,18669,24271,20070,29273,21159,40530,23491,54636,30582,20190,22818,13534,15171,11187,14319,7985,12091,3595,7943,320,2462,0,2,0,1,0,0,20240203,신설동,1호선,소요산-용산,127.025087,37.575297
50,202410,1호선,제기동,499,3,5642,2958,9670,10945,22731,22660,33113,40459,25018,35470,27206,42890,35184,52548,42478,53147,44879,53537,49574,51289,54037,40510,54632,36917,47948,29379,40653,27536,21533,17994,14065,12468,9216,11295,5586,9547,2495,6132,202,1494,0,0,0,0,0,0,20241103,제기동,1호선,소요산-용산,127.034893,37.578103
51,202409,1호선,제기동,363,6,4942,2612,8848,9714,20961,21161,30769,38120,24067,34502,27121,42191,34605,45224,37989,45796,38968,46254,41230,42841,45007,36205,46465,33342,42861,27711,37607,25012,20450,16469,13089,11373,8242,10356,5229,8925,2359,5639,187,1386,1,39,0,0,0,0,20241003,제기동,1호선,소요산-용산,127.034893,37.578103
52,202408,1호선,제기동,340,5,5292,2677,9399,10246,21952,22420,31908,39717,24396,34629,26775,36194,31389,37906,34883,39618,34567,40241,35220,36457,38774,31902,42801,32406,42530,27944,39376,26918,21481,17582,14447,11896,8817,10944,5475,9127,2327,5878,196,1432,0,0,0,0,0,0,20240903,제기동,1호선,소요산-용산,127.034893,37.578103
53,202407,1호선,제기동,433,0,5242,2639,9915,10080,24113,23865,34681,43929,24957,36018,26658,36795,30968,38502,35266,39911,36468,40383,38018,38130,40381,33566,42389,32443,43721,28749,41791,29260,21620,18880,14885,12666,9520,11116,5850,9868,2596,6018,181,1496,0,0,0,0,0,0,20240803,제기동,1호선,소요산-용산,127.034893,37.578103
54,202406,1호선,제기동,441,5,5383,2692,9411,10408,21913,22394,31158,40556,25233,36891,27814,39482,33780,41560,37293,41933,36971,42137,39753,39168,42898,34864,43927,33812,42676,28859,39527,27289,21302,17634,15076,12194,9781,11172,5860,9620,2537,6151,182,1491,0,0,0,0,0,0,20240703,제기동,1호선,소요산-용산,127.034893,37.578103
55,202405,1호선,제기동,522,6,5324,2527,10179,10515,22825,22797,33740,41606,25698,36429,27860,42456,35722,46737,40951,47802,43262,49128,45893,45578,47653,38829,47814,35024,45566,30905,41262,28397,23014,19858,15632,12990,10545,12026,6189,10343,2769,6770,211,1769,0,0,0,0,0,0,20240603,제기동,1호선,소요산-용산,127.034893,37.578103
